model,month,count,baseline_avg6,signal
ELANTRA HYBRID,2026-05,0,1.1666666666666667,False
ELANTRA HYBRID,2026-06,2,1.1666666666666667,False
ELANTRA N,2022-07,0,0.0,False
ELANTRA N,2022-08,0,0.0,False
ELANTRA N,2022-09,0,0.0,False
ELANTRA N,2022-10,0,0.0,False
ELANTRA N,2022-11,0,0.0,False
ELANTRA N,2022-12,2,0.0,False
ELANTRA N,2023-01,0,0.3333333333333333,False
ELANTRA N,2023-02,0,0.3333333333333333,False
ELANTRA N,2023-03,0,0.3333333333333333,False
ELANTRA N,2023-04,0,0.3333333333333333,False
ELANTRA N,2023-05,0,0.3333333333333333,False
ELANTRA N,2023-06,0,0.3333333333333333,False
ELANTRA N,2023-07,0,0.0,False
ELANTRA N,2023-08,0,0.0,False
ELANTRA N,2023-09,0,0.0,False
ELANTRA N,2023-10,5,0.0,False
ELANTRA N,2023-11,0,0.8333333333333334,False
ELANTRA N,2023-12,0,0.8333333333333334,False
ELANTRA N,2024-01,0,0.8333333333333334,False
ELANTRA N,2024-02,2,0.8333333333333334,False
ELANTRA N,2024-03,2,1.1666666666666667,False
ELANTRA N,2024-04,2,1.5,False
ELANTRA N,2024-05,0,1.0,False
ELANTRA N,2024-06,0,1.0,False
ELANTRA N,2024-07,1,1.0,False
ELANTRA N,2024-08,0,1.1666666666666667,False
ELANTRA N,2024-09,0,0.8333333333333334,False
ELANTRA N,2024-10,2,0.5,False
ELANTRA N,2024-11,1,0.5,False
ELANTRA N,2024-12,0,0.6666666666666666,False
ELANTRA N,2025-01,0,0.6666666666666666,False
ELANTRA N,2025-02,0,0.5,False
ELANTRA N,2025-03,0,0.5,False
ELANTRA N,2025-04,0,0.5,False
ELANTRA N,2025-05,1,0.16666666666666666,False
ELANTRA N,2025-06,0,0.16666666666666666,False
ELANTRA N,2025-07,1,0.16666666666666666,False
ELANTRA N,2025-08,0,0.3333333333333333,False
ELANTRA N,2025-09,0,0.3333333333333333,False
ELANTRA N,2025-10,2,0.3333333333333333,False
ELANTRA N,2025-11,0,0.6666666666666666,False
ELANTRA N,2025-12,1,0.5,False
ELANTRA N,2026-01,1,0.6666666666666666,False
ELANTRA N,2026-02,4,0.6666666666666666,False
ELANTRA N,2026-03,0,1.3333333333333333,False
ELANTRA N,2026-04,0,1.3333333333333333,False
ELANTRA N,2026-05,0,1.0,False
ELANTRA N,2026-06,0,1.0,False
